symbol,as_of,prior_bars,available,unavailable_reason,eligible,side,tier,signal,score,direction,analog_direction,probability_up,edge_points,evidence,agreement,grade,brier_skill,expected_move,adverse_move,reward_risk,typical,band_low,band_high,plan_action,stop_pct,target_pct,entry_date,entry_price,exit_date,exit_price,fwd_return,fwd_close_to_close,min_low_pct,max_high_pct,spy_fwd_return,runtime_s
GLNG,2019-05-06,3980,1,,1,long,speculative,WEAK BUY,25.4,bullish,bullish,65,10.4,86,100,weak,-5.3,1.77,24.03,0.07,1.77,-24.03,25.9,consider_buying,-8.2,9.1,2019-05-07,17.041227,2019-06-05,15.971692,-6.2762,-7.6765,-7.7406,9.5188,-2.478,5.21
GLNG,2019-05-07,3981,1,,1,long,speculative,WEAK BUY,33.2,bullish,bullish,72,17.3,91,100,weak,-5.3,1.85,24.08,0.08,1.85,-24.08,25.32,consider_buying,-7.7,10.1,2019-05-08,17.103615,2019-06-06,15.99843,-6.4617,-6.1683,-8.0771,9.1193,-0.9495,5.32
GLNG,2019-05-08,3982,1,,1,long,speculative,WEAK BUY,33.5,bullish,bullish,65,10.5,92,100,mixed,-4.5,1.77,20.17,0.09,1.77,-20.17,26.14,consider_buying,-8.7,9.9,2019-05-09,16.969924,2019-06-07,15.686483,-7.563,-8.3333,-7.7731,9.979,0.8485,5.41
GLNG,2019-05-09,3983,1,,1,long,speculative,WEAK BUY,43.6,bullish,bullish,71,16.7,95,100,mixed,-4.5,2.97,18.99,0.16,2.97,-18.99,27.83,consider_buying,-6.9,10.0,2019-05-10,16.649065,2019-06-10,15.383447,-7.6017,-7.6017,-8.2441,12.0985,1.1729,5.02
GLNG,2019-05-10,3984,1,,1,long,speculative,WEAK BUY,40.9,bullish,bullish,71,16.9,95,100,mixed,-3.9,1.88,23.01,0.08,1.88,-23.01,27.53,consider_buying,-5.0,10.5,2019-05-13,16.8808,2019-06-11,15.793435,-6.4414,-7.3706,-9.5037,10.5596,2.2944,5.11
GLNG,2019-05-13,3985,1,,1,long,speculative,WEAK BUY,40.6,bullish,bullish,70,15.4,95,100,mixed,-3.9,1.77,18.99,0.09,1.77,-18.99,27.75,consider_buying,-4.6,10.5,2019-05-14,16.854056,2019-06-12,14.858595,-11.8396,-11.4181,-12.4263,10.7351,2.2696,5.1
GLNG,2022-06-06,4758,1,,1,short,speculative,WEAK SHORT,25.5,bearish,bearish,49,-5.6,77,71,mixed,-3.6,3.56,26.2,0.14,-3.56,-26.1,26.2,avoid_or_exit,,,2022-06-07,23.631728,2022-07-07,19.523815,-17.383,-18.0995,-23.6211,0.6466,-4.2709,6.13
GLNG,2022-06-07,4759,1,,0,short,speculative,WEAK SHORT,16.8,bearish,bearish,50,-5.1,71,71,weak,-5.6,3.56,21.05,0.17,-3.56,-26.1,21.05,avoid_or_exit,,,2022-06-08,23.577794,2022-07-08,20.242924,-14.1441,-14.7616,-23.4464,0.0381,-5.6969,5.89
GLNG,2022-06-08,4760,1,,0,short,speculative,WEAK SHORT,8.4,bearish,bearish,50,-4.6,69,71,weak,-5.6,0.6,36.28,0.02,-0.6,-24.13,36.28,avoid_or_exit,,,2022-06-09,22.373288,2022-07-11,19.460894,-13.0173,-13.9507,-19.325,0.6027,-5.7288,5.81
GLNG,2022-06-09,4761,1,,1,long,speculative,WEAK BUY,30.1,bullish,bullish,63,7.6,78,100,weak,-5.6,5.77,22.1,0.26,5.77,-22.1,32.75,wait,,,2022-06-10,21.330578,2022-07-12,19.020443,-10.8302,-11.6124,-15.3814,3.0763,-3.1415,6.45
GLNG,2022-06-10,4762,1,,0,,,,,neutral,neutral,57,2.4,68,100,mixed,-3.8,,,,4.45,-22.87,26.54,wait,,,2022-06-13,20.135058,2022-07-13,19.757526,-1.875,-7.6471,-10.3571,9.1964,0.1623,5.93
GLNG,2022-06-13,4763,1,,0,,,,,neutral,neutral,57,2.3,68,100,mixed,-3.8,,,,4.41,-19.32,27.76,wait,,,2022-06-14,20.539559,2022-07-14,18.669874,-9.1028,-7.0693,-12.1225,7.0459,0.7145,6.09
GLNG,2025-03-10,5449,1,,1,long,speculative,WEAK BUY,53.4,bullish,bullish,69,15.6,95,100,mixed,-3.3,3.42,8.68,0.39,3.42,-8.68,15.68,wait,,,2025-03-11,30.612617,2025-04-08,31.195713,1.9048,3.2486,-6.1587,30.6984,-10.9808,6.23
GLNG,2025-03-11,5450,1,,1,long,speculative,WEAK BUY,54.4,bullish,bullish,74,20.5,95,100,mixed,-2.1,2.67,6.11,0.44,2.67,-6.11,14.35,consider_buying,-9.9,15.8,2025-03-12,32.012052,2025-04-09,34.111195,6.5574,9.6875,-10.2611,24.9848,-2.1167,6.19
GLNG,2025-03-12,5451,1,,1,long,speculative,WEAK BUY,52.5,bullish,bullish,64,12.4,95,100,mixed,-1.2,3.33,5.37,0.56,3.33,-5.37,18.59,consider_buying,-8.0,13.6,2025-03-13,33.26571,2025-04-10,32.449371,-2.454,-1.9095,-13.643,20.2746,-5.7892,6.65
GLNG,2025-03-13,5452,1,,1,long,speculative,WEAK BUY,43.0,bullish,bullish,60,8.9,87,100,mixed,-1.2,2.02,5.37,0.36,2.02,-5.37,17.33,consider_buying,-8.6,13.6,2025-03-14,32.13839,2025-04-11,36.220066,12.7003,14.0104,-10.6139,24.4935,-3.6978,6.89
GLNG,2025-03-14,5453,1,,1,long,speculative,WEAK BUY,46.0,bullish,bullish,62,10.3,91,100,mixed,-4.0,3.13,7.74,0.4,3.13,-7.74,16.73,consider_buying,-9.6,13.7,2025-03-17,33.042191,2025-04-14,35.685566,8.0,8.4465,-13.0588,21.0882,-3.9177,6.2
GLNG,2025-03-17,5454,1,,0,,,,,neutral,neutral,53,-4.3,74,71,mixed,-1.3,,,,3.33,-9.55,14.63,wait,,,2025-03-18,33.984863,2025-04-15,35.996548,5.9194,5.6776,-15.4704,17.7295,-4.5278,6.19
ALKS,2019-05-06,7005,1,,1,long,speculative,WEAK BUY,56.8,bullish,bullish,69,14.8,95,100,mixed,-0.3,4.49,7.67,0.59,4.49,-7.67,16.38,consider_buying,-11.2,14.4,2019-05-07,28.26,2019-06-05,23.4,-17.1975,-18.0385,-24.6638,0.3539,-2.478,7.06
ALKS,2019-05-07,7006,1,,1,long,speculative,WEAK BUY,52.9,bullish,bullish,66,10.8,93,100,mixed,2.8,4.94,7.59,0.65,4.94,-7.59,14.94,consider_buying,-11.2,13.7,2019-05-08,27.620001,2019-06-06,22.67,-17.9218,-17.8623,-22.9182,1.7017,-0.9495,6.69
ALKS,2019-05-08,7007,1,,1,long,speculative,WEAK BUY,58.7,bullish,bullish,70,16.0,95,100,mixed,0.7,4.94,7.14,0.69,4.94,-7.14,18.24,consider_buying,-10.0,13.7,2019-05-09,27.0,2019-06-07,22.83,-15.4444,-16.4042,-21.1481,0.6667,0.8485,6.21
ALKS,2019-05-09,7008,1,,1,long,speculative,WEAK BUY,59.9,bullish,bullish,71,16.9,95,100,mixed,0.7,5.41,6.94,0.78,5.41,-6.94,19.58,consider_buying,-7.6,13.7,2019-05-10,26.73,2019-06-10,22.77,-14.8148,-15.1323,-20.3517,1.0849,1.1729,6.09
