symbol,as_of,prior_bars,available,unavailable_reason,eligible,side,tier,signal,score,direction,analog_direction,probability_up,edge_points,evidence,agreement,grade,brier_skill,expected_move,adverse_move,reward_risk,typical,band_low,band_high,plan_action,stop_pct,target_pct,entry_date,entry_price,exit_date,exit_price,fwd_return,fwd_close_to_close,min_low_pct,max_high_pct,spy_fwd_return,runtime_s
JXG,2017-04-12,1034,1,,0,,,,,neutral,neutral,35,11.1,63,79,mixed,2.1,,,,0.0,-23.22,70.45,wait,,,2017-04-13,844.5,2017-05-12,843.0,-0.1776,5.2434,-11.9005,6.5719,2.2856,0.19
JXG,2017-08-16,1121,1,,1,long,speculative,WEAK BUY,53.6,bullish,bullish,40,18.4,60,100,weak,-5.7,12.18,28.77,0.3,12.18,-28.77,131.23,consider_buying,-35.0,58.3,2017-08-17,268.5,2017-09-15,360.0,34.0782,33.3333,-21.2291,48.6034,1.7002,0.31
JXG,2017-10-06,1157,1,,0,,,,,neutral,neutral,23,2.8,39,100,mixed,1.3,,,,-30.33,-47.83,2.44,wait,,,2017-10-09,429.0,2017-11-06,348.0,-18.8811,-18.5965,-29.021,0.0,1.6573,0.35
JXG,2017-11-10,1182,1,,1,short,moderate,SHORT,66.8,bearish,bearish,13,-9.2,57,100,mixed,1.7,31.15,0.0,3.11,-31.15,-44.44,-4.43,avoid_or_exit,,,2017-11-13,903.0,2017-12-12,610.5,-32.392,-33.8211,-35.7143,32.2259,3.6804,0.4
JXG,2018-02-23,1252,1,,0,,,,,neutral,neutral,33,6.3,49,100,mixed,10.7,,,,-0.77,-16.67,28.53,wait,,,2018-02-26,858.0,2018-03-26,931.5,8.5664,9.7173,-16.7832,104.5455,-3.5365,0.43
JXG,2018-09-27,1402,1,,0,,,,,neutral,neutral,28,-2.2,42,100,mixed,8.9,,,,-17.82,-30.33,5.58,wait,,,2018-09-28,592.5,2018-10-26,558.0,-5.8228,-6.0606,-11.3924,26.5823,-8.5037,0.6
JXG,2019-02-04,1489,1,,0,,,,,neutral,neutral,27,-3.3,45,100,mixed,7.9,,,,-14.89,-25.71,2.56,wait,,,2019-02-05,561.0,2019-03-06,579.0,3.2086,1.0471,-1.8717,21.6578,1.7949,0.63
JXG,2019-05-21,1563,1,,0,long,speculative,WEAK BUY,44.5,bullish,bullish,46,14.9,75,100,mixed,5.8,1.37,11.11,0.12,1.37,-11.11,13.16,wait,,,2019-05-22,540.0,2019-06-20,355.5,-34.1667,-34.8901,-37.5,18.3333,3.6469,0.78
JXG,2019-08-08,1618,1,,0,,,,,neutral,neutral,41,10.8,75,100,positive,6.8,,,,-0.49,-87.97,71.3,wait,,,2019-08-09,379.5,2019-09-09,360.0,-5.1383,-3.6145,-13.0435,42.2925,1.9209,0.89
JXG,2019-08-29,1633,1,,0,,,,,neutral,neutral,42,10.9,72,100,mixed,6.2,,,,0.0,-86.21,86.17,wait,,,2019-08-30,372.0,2019-09-30,315.0,-15.3226,-15.3226,-20.9677,10.4839,1.3325,0.88
JXG,2019-09-17,1645,1,,1,short,speculative,WEAK SHORT,48.6,bearish,bearish,24,-7.7,62,100,mixed,6.8,10.47,57.15,0.18,-10.47,-78.97,57.15,avoid_or_exit,,,2019-09-18,385.5,2019-10-16,339.0,-12.0623,-12.0623,-23.7354,4.2802,-0.237,0.94
JXG,2019-09-23,1649,1,,0,,,,,neutral,neutral,29,-1.9,46,100,mixed,6.6,,,,-5.47,-87.97,66.83,wait,,,2019-09-24,343.5,2019-10-22,322.5,-6.1135,-4.4444,-14.4105,17.0306,-0.1337,0.96
JXG,2020-08-04,1867,1,,0,,,,,neutral,neutral,33,-0.1,45,100,mixed,4.1,,,,-5.36,-77.94,62.79,wait,,,2020-08-05,357.0,2020-09-02,303.0,-15.1261,-15.1261,-23.9496,14.7059,7.9133,1.26
JXG,2020-11-09,1935,1,,0,,,,,neutral,neutral,31,-2.2,51,100,mixed,0.3,,,,-4.44,-84.11,65.45,wait,,,2020-11-10,315.0,2020-12-09,412.5,30.9524,28.5047,-2.381,71.4286,3.7794,1.36
JXG,2021-06-18,2087,1,,1,short,speculative,WEAK SHORT,52.4,bearish,bearish,27,-9.2,76,100,mixed,-0.6,11.11,18.64,0.6,-11.11,-34.93,18.64,avoid_or_exit,,,2021-06-21,598.5,2021-07-20,588.0,-1.7544,-2.4876,-9.7744,30.3258,3.4213,1.62
JXG,2021-09-02,2140,1,,1,short,speculative,WEAK SHORT,27.2,bearish,bearish,35,-4.1,62,100,mixed,0.2,4.9,33.45,0.15,-4.9,-40.79,33.45,avoid_or_exit,,,2021-09-03,729.0,2021-10-04,478.5,-34.3621,-21.8137,-40.7407,6.3786,-4.8601,1.71
JXG,2022-01-19,2235,1,,0,long,speculative,WEAK BUY,33.6,bullish,bullish,50,12.0,85,100,mixed,-0.8,1.37,42.53,0.03,1.37,-42.53,31.95,wait,,,2022-01-20,297.0,2022-02-17,280.5,-5.5556,-9.6618,-21.7172,8.0808,-3.6783,1.91
JXG,2022-02-16,2255,1,,0,,,,,neutral,neutral,44,5.9,67,71,mixed,2.7,,,,-1.96,-33.29,37.45,wait,,,2022-02-17,294.0,2022-03-18,285.0,-3.0612,-6.4039,-14.7959,14.2857,0.6049,1.82
JXG,2022-03-03,2265,1,,0,,,,,neutral,neutral,44,6.2,68,71,mixed,-0.5,,,,-1.96,-33.29,28.42,wait,,,2022-03-04,255.0,2022-04-01,546.0,114.1176,97.8261,-0.5882,321.1765,5.2292,2.13
JXG,2022-08-02,2369,1,,0,long,speculative,WEAK BUY,26.8,bullish,bullish,48,10.7,84,71,mixed,-1.6,0.61,34.42,0.02,0.61,-34.42,32.25,consider_buying,-18.9,29.6,2022-08-03,201.0,2022-08-31,187.5,-6.7164,-6.015,-12.6866,18.6567,-3.6851,2.68
JXG,2022-09-20,2403,1,,1,long,speculative,WEAK BUY,50.2,bullish,bullish,53,15.1,88,100,mixed,-0.7,6.05,35.43,0.17,6.05,-35.43,32.81,consider_buying,-25.7,37.0,2022-09-21,130.5,2022-10-19,108.0,-17.2414,-18.1818,-26.4368,47.1264,-4.5609,4.15
JXG,2023-03-31,2536,1,,0,long,speculative,WEAK BUY,26.5,bullish,bullish,47,9.7,84,71,mixed,-1.9,1.08,36.89,0.03,1.08,-36.89,50.6,consider_buying,-25.8,31.7,2023-04-03,76.5,2023-05-02,103.050003,34.7059,34.7059,-16.6667,135.2941,0.4867,2.77
JXG,2024-07-17,2860,1,,1,short,speculative,WEAK SHORT,46.7,bearish,bearish,33,-4.8,69,100,mixed,-3.8,11.86,24.06,0.49,-11.86,-34.24,24.06,avoid_or_exit,,,2024-07-18,19.35,2024-08-15,25.5,31.7829,30.7692,-12.4031,37.2093,-0.974,3.62
JXG,2024-07-23,2864,1,,1,short,speculative,WEAK SHORT,44.3,bearish,bearish,31,-6.6,78,100,mixed,-4.0,9.27,17.95,0.52,-9.27,-29.95,17.95,avoid_or_exit,,,2024-07-24,21.299999,2024-08-21,28.049999,31.6901,28.0822,-2.1127,36.6197,2.1426,3.61
JXG,2024-10-28,2932,1,,0,,,,,neutral,neutral,42,3.5,68,100,mixed,-3.8,,,,-2.03,-33.21,18.17,wait,,,2024-10-29,21.450001,2024-11-26,19.5,-9.0909,-10.3448,-33.5664,13.986,3.5871,3.67
JXG,2024-12-24,2972,1,,1,long,speculative,WEAK BUY,32.8,bullish,bullish,50,12.9,88,100,weak,-5.7,3.14,29.83,0.11,3.14,-29.83,51.16,consider_buying,-17.8,41.7,2024-12-26,13.65,2025-01-28,43.049999,215.3846,208.6021,-8.7912,440.6594,0.8374,3.2
JXG,2025-01-13,2983,1,,1,short,moderate,SHORT,73.2,bearish,bearish,14,-23.2,90,100,mixed,-5.0,34.47,6.61,1.97,-34.47,-63.46,6.61,avoid_or_exit,,,2025-01-14,50.700001,2025-02-12,36.299999,-28.4024,-28.8235,-36.0947,34.6154,3.2514,3.17
JXG,2026-06-23,3344,1,,1,short,speculative,WEAK SHORT,64.1,bearish,bearish,24,-13.8,93,100,mixed,-4.9,15.97,17.05,0.94,-15.97,-48.61,17.05,avoid_or_exit,,,2026-06-24,10.41,2026-07-23,6.59,-36.6955,-36.3285,-42.6513,15.2738,0.4094,3.45
GLNG,2016-07-28,3284,1,,0,,,,,neutral,neutral,55,0.7,60,100,mixed,-3.8,,,,4.26,-37.07,37.25,wait,,,2016-07-29,14.342245,2016-08-26,17.382973,21.2012,19.9762,-3.8438,27.6277,0.3834,3.57
GLNG,2016-10-13,3338,1,,0,short,speculative,WEAK SHORT,27.1,bearish,bearish,46,-8.5,83,100,mixed,-3.9,0.96,34.76,0.03,-0.96,-36.79,34.76,avoid_or_exit,,,2016-10-14,19.029242,2016-11-11,21.153196,11.1615,13.1117,-8.2577,12.7042,1.06,3.72
GLNG,2017-04-12,3462,1,,0,,,,,neutral,neutral,56,0.3,62,79,mixed,-4.1,,,,0.42,-25.49,27.66,wait,,,2017-04-13,23.87155,2017-05-12,23.637514,-0.9804,-1.0523,-9.2593,0.7625,2.2856,3.76
GLNG,2017-08-16,3549,1,,0,,,,,neutral,neutral,58,3.1,67,100,mixed,-3.4,,,,5.11,-23.81,27.83,wait,,,2017-08-17,17.704096,2017-09-15,18.678421,5.5034,5.1422,-1.5702,7.1639,1.7002,3.85
GLNG,2017-10-06,3585,1,,0,,,,,neutral,neutral,51,-4.0,73,71,mixed,-2.0,,,,-1.46,-28.63,24.46,wait,,,2017-10-09,19.618873,2017-11-06,19.88011,1.3316,1.4216,-14.2477,2.0861,1.6573,3.8
GLNG,2017-11-10,3610,1,,1,long,speculative,WEAK BUY,29.5,bullish,bullish,61,6.2,79,100,mixed,-2.1,3.16,19.29,0.16,3.16,-19.29,19.1,wait,,,2017-11-13,20.759609,2017-12-12,22.91045,10.3607,10.3144,-5.8305,11.6191,3.6804,6.1
GLNG,2018-02-23,3680,1,,0,,,,,neutral,neutral,52,-2.9,67,100,mixed,-2.3,,,,0.14,-17.47,20.93,wait,,,2018-02-26,24.568106,2018-03-26,24.198685,-1.5037,-0.4788,-6.8892,7.3153,-3.5365,4.45
GLNG,2018-09-27,3830,1,,0,,,,,neutral,neutral,53,-1.7,66,71,mixed,-3.5,,,,4.79,-10.06,14.61,wait,,,2018-09-28,23.7745,2018-10-26,22.66584,-4.6632,-5.4332,-7.624,6.5877,-8.5037,4.83
GLNG,2019-02-04,3917,1,,0,,,,,neutral,neutral,56,1.1,64,100,mixed,-3.6,,,,2.73,-36.46,29.64,wait,,,2019-02-05,19.694724,2019-03-06,18.420097,-6.4719,-6.5979,-8.2697,4.5843,1.7949,4.84
GLNG,2019-05-21,3991,1,,0,,,,,neutral,neutral,57,2.2,63,100,weak,-8.4,,,,1.38,-24.84,24.81,wait,,,2019-05-22,18.244448,2019-06-20,14.885559,-18.4105,-18.3706,-20.3319,1.3679,3.6469,4.44
GLNG,2019-08-08,4046,1,,1,long,speculative,WEAK BUY,34.5,bullish,bullish,61,7.2,82,100,mixed,-4.3,4.41,24.31,0.18,4.41,-24.31,14.58,consider_buying,-9.2,12.9,2019-08-09,12.773178,2019-09-09,11.460804,-10.2744,-9.5103,-22.0971,0.2111,1.9209,4.06
GLNG,2019-08-29,4061,1,,1,long,speculative,WEAK BUY,60.9,bullish,bullish,74,20.5,95,100,mixed,-3.3,4.69,4.25,0.82,4.69,-4.25,18.73,consider_buying,-13.2,15.4,2019-08-30,10.45405,2019-09-30,11.676535,11.6939,12.8584,-4.8151,20.0344,1.3325,3.92
GLNG,2019-09-17,4073,1,,0,,,,,neutral,neutral,48,-5.5,77,100,mixed,-3.3,,,,-0.09,-12.36,14.65,wait,,,2019-09-18,11.838334,2019-10-16,12.638347,6.7578,6.8389,-7.9726,15.186,-0.237,4.23
GLNG,2019-09-23,4077,1,,0,,,,,neutral,neutral,52,-1.4,60,71,weak,-7.1,,,,1.19,-11.67,16.58,wait,,,2019-09-24,12.054068,2019-10-22,13.519253,12.1551,11.6555,-9.6197,13.1245,-0.1337,4.11
GLNG,2020-08-04,4295,1,,0,short,speculative,WEAK SHORT,28.5,bearish,bearish,44,-8.4,86,100,mixed,-3.9,1.07,21.23,0.05,-1.07,-18.13,21.23,avoid_or_exit,,,2020-08-05,7.271992,2020-09-02,9.33943,28.4301,31.519,-1.6069,35.5995,7.9133,4.25
GLNG,2020-11-09,4363,1,,0,,,,,neutral,neutral,53,0.1,62,71,mixed,-3.2,,,,0.86,-25.46,21.73,wait,,,2020-11-10,8.40459,2020-12-09,8.350657,-0.6417,2.4256,-11.6578,13.0481,3.7794,4.38
GLNG,2021-06-18,4515,1,,0,,,,,neutral,neutral,55,1.5,60,100,weak,-6.2,,,,1.23,-24.08,21.53,wait,,,2021-06-21,11.856313,2021-07-20,10.543938,-11.069,-9.3509,-18.3472,6.2927,3.4213,4.6
GLNG,2021-09-02,4568,1,,1,short,speculative,WEAK SHORT,37.4,bearish,bearish,42,-11.6,95,100,mixed,-4.5,2.13,18.87,0.11,-2.13,-19.84,18.87,avoid_or_exit,,,2021-09-03,10.418094,2021-10-04,11.928226,14.4953,14.1015,-8.1104,18.8956,-4.8601,4.77
GLNG,2022-01-19,4663,1,,1,long,speculative,WEAK BUY,33.8,bullish,bullish,63,9.0,87,100,mixed,-4.0,2.8,21.11,0.13,2.8,-21.11,18.56,consider_buying,-8.5,10.8,2022-01-20,12.404634,2022-02-17,13.258575,6.8841,8.2172,-12.029,12.2464,-3.6783,4.84
GLNG,2022-02-16,4683,1,,0,,,,,neutral,neutral,54,-0.7,63,100,mixed,-4.1,,,,0.35,-21.25,19.5,wait,,,2022-02-17,12.854077,2022-03-18,18.894598,46.993,41.1686,-0.5594,48.3916,0.6049,4.54
GLNG,2022-03-03,4693,1,,0,,,,,neutral,neutral,48,-6.6,81,100,mixed,-3.8,,,,-0.44,-22.0,16.55,wait,,,2022-03-04,15.955234,2022-04-01,22.517103,41.1267,40.0224,-5.2394,47.7746,5.2292,4.42
GLNG,2022-08-02,4797,1,,0,,,,,neutral,neutral,57,1.8,61,100,weak,-6.0,,,,0.72,-22.64,30.89,wait,,,2022-08-03,20.476634,2022-08-31,24.512632,19.7103,21.2539,-5.18,34.5918,-3.6851,4.86
GLNG,2022-09-20,4831,1,,0,,,,,neutral,neutral,52,-3.5,71,71,mixed,-4.2,,,,1.0,-16.06,23.83,wait,,,2022-09-21,23.838471,2022-10-19,23.299135,-2.2625,-0.499,-13.9894,0.8673,-4.5609,4.92
GLNG,2023-03-31,4964,1,,1,long,speculative,WEAK BUY,23.4,bullish,bullish,61,6.3,74,100,weak,-5.2,2.83,13.24,0.21,2.83,-13.24,19.72,consider_buying,-7.1,8.9,2023-04-03,19.838425,2023-05-02,19.442915,-1.9937,0.1389,-7.7481,4.2592,0.4867,4.87
GLNG,2024-07-17,5288,1,,1,short,speculative,WEAK SHORT,51.6,bearish,bearish,49,-9.4,89,100,mixed,-5.0,4.97,5.79,0.86,-4.97,-12.77,5.79,avoid_or_exit,,,2024-07-18,32.783935,2024-08-15,31.605616,-3.5942,-3.0886,-15.1014,5.8551,-0.974,4.89
