symbol,settlement_date,short_shares,previous_short_shares,avg_daily_volume,days_to_cover,change_percent
IOVA,2026-07-15,99892938,100526623,16903817,5.91,-0.63
IOVA,2026-06-30,100526623,103489642,14159736,7.1,-2.86
IOVA,2026-06-15,103489642,104249751,13107577,7.9,-0.73
IOVA,2026-05-29,104249751,106608353,12722798,8.19,-2.21
IOVA,2026-05-15,106608353,114711667,17782438,6,-7.06
IOVA,2026-04-30,114711667,108804045,12535651,9.15,5.43
IOVA,2026-04-15,108804045,110832243,16639967,6.54,-1.83
IOVA,2026-03-31,110832243,115070206,11697703,9.47,-3.68
IOVA,2026-03-13,115070206,130927595,23097517,4.98,-12.11
IOVA,2026-02-27,130927595,131334639,18040821,7.26,-0.31
IOVA,2026-02-13,131334639,105255004,8986769,14.61,24.78
IOVA,2026-01-30,105255004,117099153,13899672,7.57,-10.11
IOVA,2026-01-15,117099153,119070866,11562081,10.13,-1.66
IOVA,2025-12-31,119070866,120342810,13446524,8.86,-1.06
IOVA,2025-11-28,118939462,115733068,10055957,11.83,2.77
IOVA,2025-12-15,120342810,118939462,9501925,12.67,1.18
IOVA,2025-11-14,115733068,95415882,28665756,4.04,21.29
IOVA,2025-10-31,95415882,83612571,12863511,7.42,14.12
IOVA,2025-10-15,83612571,72971971,11319936,7.39,14.58
IOVA,2022-03-31,13878544,13678202,2453060,5.66,1.46
IOVA,2025-09-30,72971971,65704715,10139600,7.2,11.06
IOVA,2022-05-31,17372830,17199314,6093440,2.85,1.01
IOVA,2022-04-14,15253497,13878544,2906116,5.25,9.91
IOVA,2022-11-15,18239507,17261489,3137426,5.81,5.67
IOVA,2022-08-15,20757614,19420353,2412379,8.6,6.89
IOVA,2022-09-15,19542460,19650789,1995986,9.79,-0.55
IOVA,2022-08-31,19650789,20757614,2298557,8.55,-5.33
IOVA,2022-10-14,18170008,18662320,2262626,8.03,-2.64
IOVA,2022-06-15,16555432,17372830,8644427,1.92,-4.71
IOVA,2022-03-15,13678202,13720709,1665236,8.21,-0.31
IOVA,2022-09-30,18662320,19542460,2206279,8.46,-4.5
IOVA,2022-04-29,15814857,15253497,1720102,9.19,3.68
IOVA,2022-07-15,19941482,21546873,3294328,6.05,-7.45
IOVA,2022-06-30,21546873,16555432,7309729,2.95,30.15
IOVA,2022-05-13,17199314,15814857,2272253,7.57,8.75
IOVA,2022-10-31,17261489,18170008,1847239,9.34,-5
IOVA,2022-02-28,13720709,12538795,1712175,8.01,9.43
IOVA,2025-09-15,65704715,71319978,9311224,7.06,-7.87
IOVA,2025-08-15,71364792,67706980,16989216,4.2,5.4
IOVA,2022-02-15,12538795,11237748,1579461,7.94,11.58
IOVA,2025-08-29,71319978,71364792,12497239,5.71,-0.06
IOVA,2025-07-15,98633209,96777448,13682386,7.21,1.92
IOVA,2022-07-29,19420353,19941482,2582431,7.52,-2.61
IOVA,2025-07-31,67706980,98633209,31867928,2.12,-31.35
IOVA,2022-01-31,11237748,12020690,2227191,5.05,-6.51
IOVA,2022-11-30,18720132,18239507,4547103,4.12,2.64
IOVA,2025-06-30,96777448,90964131,10660458,9.08,6.39
IOVA,2022-01-14,12020690,12465752,3056194,3.93,-3.57
IOVA,2025-06-13,90964131,86361273,13019306,6.99,5.33
IOVA,2021-11-30,15617121,15799667,1853324,8.43,-1.16
IOVA,2022-12-15,19076096,18720132,7728573,2.47,1.9
IOVA,2021-11-15,15799667,15233736,2535544,6.23,3.71
IOVA,2025-05-30,86361273,77018516,12171958,7.1,12.13
IOVA,2025-05-15,77018516,74567033,25407243,3.03,3.29
IOVA,2025-04-30,74567033,71372146,8321513,8.96,4.48
IOVA,2025-04-15,71372146,75186511,10833378,6.59,-5.07
